SWKS
QCOM
QRVO
AVGO
MU
TXN
MCHP
APH
XLNX
INTC
WDC
GLW
AMAT
NVDA
ADI
HPE
MA
LRCX
HPQ
WU
KLAC
EA
AMD
V
AVY
APD
ALB
FMC
EMN
AOS
EXPD
BA
CMI
MMM
TDG
A
MTD
PKI
WAT
DHR
BHGE
SLB
CVX
BWA
MCD
TPR
TIF
LEG
NKE
SBUX
